"","Año","Mes","Sede","Producto","Peso Kg.","Tipo de Envase","Pais Origen"
"1","2023",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",54000,"GRANEL","BOLIVIA"
"2","2023",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",82790,"GRANEL","BOLIVIA"
"3","2023",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",83210,"GRANEL","BOLIVIA"
"4","2023",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",55160,"GRANEL","BOLIVIA"
"5","2023",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",27000,"GRANEL","BOLIVIA"
"6","2023",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56700,"GRANEL","BOLIVIA"
"7","2023",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",82230,"GRANEL","BOLIVIA"
"8","2023",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, semilla",4325,"BOLSAS","EEUU"
"9","2023",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, semilla",1000,"BOLSAS","EEUU"
"10","2023",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",112000,"SACO(S)","BOLIVIA"
"11","2023",4,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",43100,"CAJA(S)","ECUADOR"
"12","2023",4,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",10750,"SACO(S)","ECUADOR"
"13","2023",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",143000,"SACO(S)","BOLIVIA"
"14","2023",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",83832,"SACO(S)","BOLIVIA"
"15","2023",4,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",22000,"CAJA(S)","ECUADOR"
"16","2023",4,"IÑAPARI, MADRE DE DIOS","NUEZ DEL BRASIL, con cáscara seca al natural",28000,"SACO(S)","BRASIL"
"17","2023",4,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PAPAYA, semilla",7.34,"SACHETS","MEXICO"
"18","2023",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",19600,"CAJA(S)","CHILE"
"19","2023",4,"SANTA ROSA, TACNA","PERA, fruta fresca",4032,"CAJA(S)","CHILE"
"20","2023",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",21707,"CAJA(S)","CHILE"
"21","2023",4,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","YUCA (=MANDIOCA), fécula",95000,"SACO(S)","TAILANDIA"
"22","2023",4,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",87000,"SACO(S)","BOLIVIA"
"23","2023",4,"IÑAPARI, MADRE DE DIOS","NUEZ DEL BRASIL, con cáscara seca al natural",28000,"SACO(S)","BRASIL"
"24","2023",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22344,"CAJA(S)","CHILE"
"25","2023",4,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22344,"CAJA(S)","CHILE"
