"","Año","Mes","Sede","Producto","Peso Kg.","Tipo de Envase","Pais Origen"
"1","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MARCOS, madera",12001.9,"CAJA(S)","HONG KONG"
"2","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRACTOR USADO, con motor de potencia superior a 130KW",12540,"UNIDADES","HOLANDA"
"3","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",74571,"BOLSAS","CANADA"
"4","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PERA, fruta fresca",23940,"CAJA(S)","ARGENTINA"
"5","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PERA, fruta fresca",22932,"CAJA(S)","ARGENTINA"
"6","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MOSTAZA, grano",21500,"BOLSAS","CANADA"
"7","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","GIRASOL, grano",22113,"SACO(S)","ARGENTINA"
"8","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PERA, fruta fresca",22717.2,"CAJA(S)","ARGENTINA"
"9","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPA, fécula",1e+05,"BOLSAS","ALEMANIA"
"10","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MADERA, puertas y sus marcos, contramarcos y umbrales, con algun proceso de la CRF 2",6167.1,"PIEZAS","BRASIL"
"11","2023",3,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","UVA (PASAS), secas industrialmente",50,"CAJA(S)","CHILE"
"12","2023",3,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","CAFE, semilla",0.1,"BOLSAS","COSTA RICA"
"13","2023",3,"SANTA ROSA, TACNA","SOYA, torta",162000,"SACO(S)","BOLIVIA"
"14","2023",3,"LA TINA, PIURA","PITAHAYA, fruto fresco",21420,"CAJA(S)","ECUADOR"
"15","2023",3,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",44800,"CAJA(S)","ECUADOR"
"16","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGODON, fibra sin cardar ni peinar (>28.57 mm = o <34.92 mm)",38600,"FARDOS","EEUU"
"17","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR CRUDA, sólido",250000,"SACO(S)","EL SALVADOR"
"18","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",260000,"SACO(S)","COLOMBIA"
"19","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",132500,"SACO(S)","NICARAGUA"
"20","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",132500,"SACO(S)","NICARAGUA"
"21","2023",3,"IÑAPARI, MADRE DE DIOS","NUEZ DEL BRASIL, con cáscara seca al natural",27900,"SACO(S)","BRASIL"
"22","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",46266,"SACO(S)","EEUU"
"23","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",72641,"CAJA(S)","CHILE"
"24","2023",3,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","TOMATE, semilla",0.035,"SACHETS","JAPON"
"25","2023",3,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","TOMATE, semilla",0.023,"SACHETS","HOLANDA"
"26","2023",3,"SANTA ROSA, TACNA","SOYA, torta",168000,"SACO(S)","CHILE"
"27","2023",3,"SANTA ROSA, TACNA","SOYA, torta",166500,"SACO(S)","CHILE"
"28","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CAUCHO, técnicamente especificado (TSNR)",63000,"BOLSAS","VIETNAM"
"29","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",132500,"SACO(S)","NICARAGUA"
"30","2023",3,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",13975,"CAJA(S)","ECUADOR"
"31","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",90720,"SACO(S)","CANADA"
"32","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",69399,"SACO(S)","EEUU"
"33","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",125000,"SACO(S)","URUGUAY"
"34","2023",3,"AGUAS VERDES, TUMBES","ROSA, flores frescas cortadas",4500,"CAJA(S)","ECUADOR"
"35","2023",3,"AGUAS VERDES, TUMBES","CLAVEL, flores frescas cortadas",1500,"CAJA(S)","ECUADOR"
"36","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, grano",13213480,"GRANEL","CANADA"
"37","2023",3,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",23000,"CAJA(S)","ECUADOR"
"38","2023",3,"AGUAS VERDES, TUMBES","CAÑA DE GUAYAQUIL, seca al natural",32000,"UNIDADES","ECUADOR"
"39","2023",3,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","CEBOLLA, semilla",11.842,"SACHETS","EEUU"
"40","2023",3,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","COCO, fibra (para sustrato)",6.355,"PIEZAS","INDIA"
"41","2023",3,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",22000,"CAJA(S)","ECUADOR"
"42","2023",3,"AGUAS VERDES, TUMBES","CAÑA DE GUAYAQUIL, seca al natural",34000,"UNIDADES","ECUADOR"
"43","2023",3,"AGUAS VERDES, TUMBES","CAÑA DE GUAYAQUIL, seca al natural",34000,"UNIDADES","ECUADOR"
"44","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, grano",14329170,"GRANEL","CANADA"
"45","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, grano",9872440,"GRANEL","CANADA"
"46","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, grano",5535560,"GRANEL","CANADA"
"47","2023",3,"SANTA ROSA, TACNA","UVA (PASAS), secas industrialmente",10000,"CAJA(S)","CHILE"
"48","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CANELA, corteza entera seca al natural",6200,"CAJA(S)","SRI LANKA"
"49","2023",3,"SANTA ROSA, TACNA","SOYA, harina",53500,"SACO(S)","CHILE"
"50","2023",3,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",22000,"CAJA(S)","ECUADOR"
"51","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",239134,"SACO(S)","EEUU"
"52","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPRIKA, seco industrial en trozos o  rodajas",22500,"PAQUETES","CHINA"
"53","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPRIKA, seco industrial en trozos o  rodajas",22500,"PAQUETES","CHINA"
"54","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPRIKA, seco industrial en trozos o  rodajas",22500,"PAQUETES","CHINA"
"55","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPRIKA, seco industrial en trozos o  rodajas",22500,"PAQUETES","CHINA"
"56","2023",3,"IÑAPARI, MADRE DE DIOS","SOYA, torta",48400,"SACO(S)","BRASIL"
"57","2023",3,"IÑAPARI, MADRE DE DIOS","SOYA, torta",30700,"SACO(S)","BRASIL"
"58","2023",3,"IÑAPARI, MADRE DE DIOS","MAIZ AMARILLO DURO, grano",38000,"GRANEL","BRASIL"
"59","2023",3,"IÑAPARI, MADRE DE DIOS","MAIZ AMARILLO DURO, grano",48000,"GRANEL","BRASIL"
"60","2023",3,"IÑAPARI, MADRE DE DIOS","MAIZ AMARILLO DURO, grano",48000,"GRANEL","BRASIL"
"61","2023",3,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","ARANDANO, planta in vitro",1329.32,"FRASCO(S)","MEXICO"
"62","2023",3,"SANTA ROSA, TACNA","SOYA, torta",163500,"SACO(S)","CHILE"
"63","2023",3,"SANTA ROSA, TACNA","SOYA, torta",167000,"SACO(S)","CHILE"
"64","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TURBA",83893,"PALETAS","LETONIA"
"65","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRACTOR USADO, con motor de potencia superior a 33 kW pero inferior o igual a 75 kW",3800,"UNIDADES","ALEMANIA"
"66","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRACTOR USADO, con motor de potencia superior a 75 kW pero inferior o igual a 130 kW",9200,"UNIDADES","ALEMANIA"
"67","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PIMIENTA, grano seco industrial(presentado en frascos y sachet)",261.464,"FRASCO(S)","EEUU"
"68","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPRIKA,  triturado o pulverizado",30.29,"FRASCO(S)","EEUU"
"69","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MEZCLA DE ESPECIAS, molida",929.66,"FRASCO(S)","EEUU"
"70","2023",3,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","CLAVEL, flores frescas cortadas",48,"CAJA(S)","COLOMBIA"
"71","2023",3,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","CRISANTEMO, flores frescas cortadas",152,"CAJA(S)","COLOMBIA"
"72","2023",3,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","ALSTROEMERIA, flores frescas cortadas",24,"CAJA(S)","COLOMBIA"
"73","2023",3,"SANTA ROSA, TACNA","SOYA, harina",136000,"SACO(S)","CHILE"
"74","2023",3,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"75","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",45042,"SACO(S)","CANADA"
"76","2023",3,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22344,"CAJA(S)","CHILE"
"77","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR CRUDA, sólido",125000,"SACO(S)","GUATEMALA"
"78","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","JENGIBRE(=KION), seco industrial",500,"SACO(S)","ALEMANIA"
"79","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","GERMANTOWN PGX,  mezcla de estabilizantes y emulsificantes (ind. alimentaria)",2825,"SACO(S)","ALEMANIA"
"80","2023",3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRACTOR USADO, con motor de potencia superior a 33 kW pero inferior o igual a 75 kW",13376,"UNIDADES","HOLANDA"
