"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"1290",2012,11,"DESAGUADERO, PUNO","SOYA, grano",87000,"SACO(S)","BOLIVIA"
"1291",2012,11,"DESAGUADERO, PUNO","MAIZ AMARILLO DURO, grano",109940,"GRANEL","BOLIVIA"
"1292",2012,11,"PUERTO DE ILO, MOQUEGUA","TRIGO, grano",13750000,"GRANEL","ARGENTINA"
"1293",2012,11,"SANTA ROSA, TACNA","MANZANA, fruto fresco",6860,"CAJA(S)","CHILE"
"1294",2012,11,"SANTA ROSA, TACNA","NARANJA, fruto fresco",6720,"CAJA(S)","CHILE"
"1295",2012,11,"DESAGUADERO, PUNO","SORGO, grano",52000,"SACO(S)","BOLIVIA"
"1296",2012,11,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23206,"CAJA(S)","CHILE"
"1297",2012,11,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22860,"CAJA(S)","CHILE"
"1298",2012,11,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",500,"SACO(S)","ARGENTINA"
"1299",2012,11,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PERA, fruta fresca",22344,"CAJA(S)","ARGENTINA"
"1300",2012,11,"SANTA ROSA, TACNA","MANZANA, fruto fresco",21952,"CAJA(S)","CHILE"
"1301",2012,11,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",19551,"CAJA(S)","ARGENTINA"
"1302",2012,11,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PERA, fruta fresca",23674,"CAJA(S)","ARGENTINA"
"1303",2012,11,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PERA, fruta fresca",23.674,"CAJA(S)","ARGENTINA"
"1304",2012,11,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","KIWI, fruto fresco",24000,"CAJA(S)","CHILE"
"1305",2012,11,"SANTA ROSA, TACNA","PERA, fruta fresca",3024,"CAJA(S)","CHILE"
"1306",2012,11,"SANTA ROSA, TACNA","MANZANA, fruto fresco",20580,"CAJA(S)","CHILE"
"1307",2012,11,"SANTA ROSA, TACNA","KIWI, fruto fresco",5400,"CAJA(S)","CHILE"
"1308",2012,11,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22344,"CAJA(S)","CHILE"
"1309",2012,11,"SANTA ROSA, TACNA","NARANJA, fruto fresco",11466,"CAJA(S)","CHILE"
"1310",2012,11,"SANTA ROSA, TACNA","MANZANA, fruto fresco",4900,"CAJA(S)","CHILE"
"1311",2012,11,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",120,"SACO(S)","URUGUAY"
"1312",2012,11,"PUERTO DE MATARANI , AREQUIPA","MAIZ AMARILLO DURO, grano",5e+06,"GRANEL","BRASIL"
"1313",2012,11,"PUERTO DE MATARANI , AREQUIPA","MAIZ AMARILLO DURO, grano",1.4e+07,"GRANEL","BRASIL"
"1314",2012,11,"PUERTO DE MATARANI , AREQUIPA","MAIZ AMARILLO DURO, grano",5e+06,"GRANEL","BRASIL"
"1315",2012,11,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"1316",2012,11,"SANTA ROSA, TACNA","MANZANA, fruto fresco",16200,"CAJA(S)","CHILE"
"1317",2012,11,"SANTA ROSA, TACNA","MANZANA, fruto fresco",16660,"CAJA(S)","CHILE"
"1318",2012,11,"SANTA ROSA, TACNA","KIWI, fruto fresco",2520,"CAJA(S)","CHILE"
"1319",2012,11,"SANTA ROSA, TACNA","PERA, fruta fresca",4824,"CAJA(S)","CHILE"
"1320",2012,11,"SANTA ROSA, TACNA","NARANJA, fruto fresco",22176,"CAJA(S)","CHILE"
"1321",2012,11,"AGUAS VERDES, TUMBES","ROSA, flores frescas cortadas",5500,"CAJA(S)","ECUADOR"
"1322",2012,11,"AGUAS VERDES, TUMBES","CLAVEL, flores frescas cortadas",1200,"CAJA(S)","ECUADOR"
"1323",2012,11,"AGUAS VERDES, TUMBES","LILIUM (=AZUCENA), flores frescas cortadas",300,"CAJA(S)","ECUADOR"
"1324",2012,11,"AGUAS VERDES, TUMBES","PIÑA, fruto fresco",12000,"CAJA(S)","ECUADOR"
"1325",2012,11,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PIMIENTO, semilla",0.001,"SOBRES ALUMINIZADOS","MEXICO"
"1326",2012,11,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","COCO, fibra en bruto (para cesteria)",4089,"UNIDADES","ESPAÑA"
"1327",2012,11,"DESAGUADERO, PUNO","SOYA, grano",112980,"GRANEL","BOLIVIA"
"1328",2012,11,"DESAGUADERO, PUNO","SOYA, grano",57480,"SACO(S)","BOLIVIA"
"1329",2012,11,"DESAGUADERO, PUNO","SOYA, grano",116400,"BOLSAS","BOLIVIA"
"1330",2012,11,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ANIS O BADIANA, grano",25000,"SACO(S)","TURQUIA"
"1331",2012,11,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"1332",2012,11,"DESAGUADERO, PUNO","SORGO, grano",28500,"SACO(S)","BOLIVIA"
"1333",2012,11,"DESAGUADERO, PUNO","SORGO, grano",29000,"SACO(S)","BOLIVIA"
"1334",2012,11,"PUERTO DE PISCO , ICA","MAIZ AMARILLO DURO, grano",1e+07,"GRANEL","PARAGUAY"
"1335",2012,11,"DESAGUADERO, PUNO","MAIZ AMARILLO DURO, grano",115975,"SACO(S)","BOLIVIA"
"1336",2012,11,"SANTA ROSA, TACNA","KIWI, fruto fresco",2520,"CAJA(S)","CHILE"
