"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"5",2012,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22579,"CAJA(S)","CHILE"
"6",2012,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",21560,"CAJA(S)","CHILE"
"7",2012,9,"SANTA ROSA, TACNA","PERA, fruta fresca",5040,"CAJA(S)","CHILE"
"8",2012,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",18620,"CAJA(S)","CHILE"
"9",2012,9,"SANTA ROSA, TACNA","KIWI, fruto fresco",10800,"CAJA(S)","CHILE"
"10",2012,9,"AGUAS VERDES, TUMBES","ROSA, flores frescas cortadas",3200,"CAJA(S)","ECUADOR"
"11",2012,9,"AGUAS VERDES, TUMBES","CRISANTEMO, los demas flores frescas cortadas",1300,"CAJA(S)","ECUADOR"
"12",2012,9,"AGUAS VERDES, TUMBES","LILIUM (=AZUCENA), flores frescas cortadas",622,"CAJA(S)","ECUADOR"
"13",2012,9,"AGUAS VERDES, TUMBES","PIMIENTA, grano",2700,"SACO(S)","ECUADOR"
"14",2012,9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","ROSA, flores frescas cortadas",259.7,"CAJA(S)","ECUADOR"
"15",2012,9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","LILIUM (=AZUCENA), flores frescas cortadas",62.5,"CAJA(S)","ECUADOR"
"16",2012,9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","ROSA, flores frescas cortadas",650,"CAJA(S)","ECUADOR"
"17",2012,9,"DESAGUADERO, PUNO","SOYA, grano",146000,"SACO(S)","BOLIVIA"
"18",2012,9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGODON, fibra sin cardar ni peinar (>28.57 mm = o <34.92 mm)",160910,"FARDOS","EEUU"
"19",2012,9,"AGUAS VERDES, TUMBES","AJONJOLI, grano",10286,"SACO(S)","ECUADOR"
"20",2012,9,"SANTA ROSA, TACNA","PERA, fruta fresca",9072,"CAJA(S)","CHILE"
"21",2012,9,"IÑAPARI, MADRE DE DIOS","MAIZ AMARILLO DURO, grano",29190,"GRANEL","BRASIL"
"22",2012,9,"AGUAS VERDES, TUMBES","ROSA, flores frescas cortadas",1800,"CAJA(S)","ECUADOR"
"23",2012,9,"AGUAS VERDES, TUMBES","CLAVEL, flores frescas cortadas",150,"CAJA(S)","ECUADOR"
"24",2012,9,"AGUAS VERDES, TUMBES","LILIUM (=AZUCENA), flores frescas cortadas",50,"CAJA(S)","ECUADOR"
"25",2012,9,"AGUAS VERDES, TUMBES","ROSA, flores frescas cortadas",4670,"CAJA(S)","ECUADOR"
"26",2012,9,"AGUAS VERDES, TUMBES","CLAVEL, flores frescas cortadas",960,"CAJA(S)","ECUADOR"
"27",2012,9,"AGUAS VERDES, TUMBES","LILIUM (=AZUCENA), flores frescas cortadas",370,"CAJA(S)","ECUADOR"
"28",2012,9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",157437,"CAJA(S)","CHILE"
"29",2012,9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","TOMATE, semilla",0.032,"SACHETS","HOLANDA"
"30",2012,9,"DESAGUADERO, PUNO","MAIZ AMARILLO DURO, grano",55850,"SACO(S)","BOLIVIA"
"31",2012,9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","ROSA, flores frescas cortadas",72.77,"CAJA(S)","ECUADOR"
"32",2012,9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","YUTE, sacos",34320,"SACO(S)","INDIA"
"33",2012,9,"DESAGUADERO, PUNO","SOYA, grano",140000,"SACO(S)","BOLIVIA"
"34",2012,9,"AGUAS VERDES, TUMBES","CAÑA DE GUAYAQUIL, seca al natural",60400,"UNIDADES","ECUADOR"
"35",2012,9,"AGUAS VERDES, TUMBES","CAÑA DE GUAYAQUIL, seca al natural",40400,"UNIDADES","ECUADOR"
"36",2012,9,"SANTA ROSA, TACNA","PERA, fruta fresca",23184,"CAJA(S)","CHILE"
"37",2012,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22755.2,"CAJA(S)","CHILE"
"38",2012,9,"SANTA ROSA, TACNA","PERA, fruta fresca",2016,"CAJA(S)","CHILE"
"39",2012,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",19040,"CAJA(S)","CHILE"
"40",2012,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",18620,"CAJA(S)","CHILE"
"41",2012,9,"SANTA ROSA, TACNA","PERA, fruta fresca",5040,"CAJA(S)","CHILE"
"42",2012,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",18620,"CAJA(S)","CHILE"
"43",2012,9,"SANTA ROSA, TACNA","PERA, fruta fresca",7056,"CAJA(S)","CHILE"
"44",2012,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",21560,"CAJA(S)","CHILE"
"45",2012,9,"SANTA ROSA, TACNA","PERA, fruta fresca",2016,"CAJA(S)","CHILE"
"46",2012,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",21560,"CAJA(S)","CHILE"
"47",2012,9,"SANTA ROSA, TACNA","PERA, fruta fresca",2016,"CAJA(S)","CHILE"
"48",2012,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",1960,"CAJA(S)","CHILE"
"49",2012,9,"SANTA ROSA, TACNA","PERA, fruta fresca",3528,"CAJA(S)","CHILE"
"50",2012,9,"SANTA ROSA, TACNA","PERA, fruta fresca",23184,"CAJA(S)","CHILE"
"51",2012,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",13720,"CAJA(S)","CHILE"
"52",2012,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",8680,"CAJA(S)","CHILE"
"53",2012,9,"SANTA ROSA, TACNA","PERA, fruta fresca",12798,"CAJA(S)","CHILE"
"54",2012,9,"SANTA ROSA, TACNA","KIWI, fruto fresco",9360,"CAJA(S)","CHILE"
"55",2012,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",15680,"CAJA(S)","CHILE"
"56",2012,9,"SANTA ROSA, TACNA","PERA, fruta fresca",2646,"CAJA(S)","CHILE"
"57",2012,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",20580,"CAJA(S)","CHILE"
"58",2012,9,"SANTA ROSA, TACNA","KIWI, fruto fresco",2970,"CAJA(S)","CHILE"
"59",2012,9,"AGUAS VERDES, TUMBES","ROSA, flores frescas cortadas",4000,"CAJA(S)","ECUADOR"
"60",2012,9,"AGUAS VERDES, TUMBES","CLAVEL, flores frescas cortadas",1500,"CAJA(S)","ECUADOR"
