"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"11758",2024,6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",158216,"SACO(S)","CANADA"
"11759",2024,6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","COMINO, grano",27000,"SACO(S)","INDIA"
"11760",2024,6,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"11761",2024,6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",174000,"SACO(S)","BOLIVIA"
"11762",2024,6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",145000,"SACO(S)","BOLIVIA"
"11763",2024,6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",173000,"SACO(S)","BOLIVIA"
"11764",2024,6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",126500,"SACO(S)","BOLIVIA"
"11765",2024,6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",114000,"SACO(S)","BOLIVIA"
"11766",2024,6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",146000,"SACO(S)","BOLIVIA"
"11767",2024,6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",58000,"SACO(S)","BOLIVIA"
"11768",2024,6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",145000,"SACO(S)","BOLIVIA"
"11769",2024,6,"SANTA ROSA, TACNA","PALTA, fruto fresco",22896,"CAJA(S)","CHILE"
"11770",2024,6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",83980,"GRANEL","BOLIVIA"
"11771",2024,6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",56000,"GRANEL","BOLIVIA"
"11772",2024,6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",56000,"GRANEL","BOLIVIA"
"11773",2024,6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",111000,"GRANEL","BOLIVIA"
"11774",2024,6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",55500,"GRANEL","BOLIVIA"
"11775",2024,6,"SANTA ROSA, TACNA","PERA, fruta fresca",12240,"CAJA(S)","CHILE"
"11776",2024,6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","UVA (PASAS), secas naturalmente",40000,"CAJA(S)","ARGENTINA"
"11777",2024,6,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",8860,"CAJA(S)","ECUADOR"
"11778",2024,6,"SANTA ROSA, TACNA","MANZANA, fruto fresco",11240,"CAJA(S)","CHILE"
"11779",2024,6,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22540,"CAJA(S)","CHILE"
"11780",2024,6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",29030,"GRANEL","BOLIVIA"
"11781",2024,6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",55730,"GRANEL","BOLIVIA"
"11782",2024,6,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","UVA (PASAS), secas industrialmente",100,"CAJA(S)","CHILE"
"11783",2024,6,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"11784",2024,6,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22270.5,"CAJA(S)","CHILE"
"11785",2024,6,"PUERTO DE PAITA , PIURA","MANZANA, fruto fresco",17640,"CAJA(S)","EEUU"
"11786",2024,6,"PUERTO DE PAITA , PIURA","MANZANA, fruto fresco",17640,"CAJA(S)","EEUU"
"11787",2024,6,"PUERTO DE PAITA , PIURA","MANZANA, fruto fresco",17640,"CAJA(S)","EEUU"
"11788",2024,6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",81070,"GRANEL","BOLIVIA"
"11789",2024,6,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22407.7,"CAJA(S)","CHILE"
"11790",2024,6,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"11791",2024,6,"SANTA ROSA, TACNA","MANZANA, fruto fresco",21604,"CAJA(S)","CHILE"
"11792",2024,6,"SANTA ROSA, TACNA","MANZANA, fruto fresco",21922.6,"CAJA(S)","CHILE"
"11793",2024,6,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23245.6,"CAJA(S)","CHILE"
"11794",2024,6,"SANTA ROSA, TACNA","PERA, fruta fresca",23184,"CAJA(S)","CHILE"
"11795",2024,6,"SANTA ROSA, TACNA","LENTEJA, grano",49896,"SACO(S)","CANADA"
"11796",2024,6,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"11797",2024,6,"SANTA ROSA, TACNA","GARBANZO, grano",22000,"SACO(S)","MEXICO"
