"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"4258",2024,3,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",145000,"SACO(S)","BOLIVIA"
"4259",2024,3,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MAIZ, semilla",1.54,"SOBRES","FRANCIA"
"4260",2024,3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",2e+05,"BIG BAG","GUATEMALA"
"4261",2024,3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",65000,"SACO(S)","GUATEMALA"
"4262",2024,3,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",101500,"SACO(S)","BOLIVIA"
"4263",2024,3,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","GIRASOL, torta",53000,"GRANEL","BOLIVIA"
"4264",2024,3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",23587,"SACO(S)","EEUU"
"4265",2024,3,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22883,"CAJA(S)","CHILE"
"4266",2024,3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",19559,"CAJA(S)","EEUU"
"4267",2024,3,"SANTA ROSA, TACNA","PERA, fruta fresca",23040,"CAJA(S)","CHILE"
"4268",2024,3,"PUERTO DE MATARANI , AREQUIPA","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",40000,"BIG BAG","COLOMBIA"
"4269",2024,3,"PUERTO DE MATARANI , AREQUIPA","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",12875,"SACO(S)","COLOMBIA"
"4270",2024,3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MADERA, monturas y mangos de herramientas, monturas y mangos de cepillos, brochas o escobas, de madera; hormas, ensanchadores y tensores del calzado, de madera ; con algún proceso de la CRF 2",27417,"UNIDADES","HONG KONG"
"4271",2024,3,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22520.4,"CAJA(S)","CHILE"
"4272",2024,3,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",84000,"SACO(S)","BOLIVIA"
"4273",2024,3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",124285,"SACO(S)","CANADA"
"4274",2024,3,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",123605,"SACO(S)","CANADA"
