,Año,Mes,Sede,Producto,Peso.Kg.,Tipo.de.Envase,Pais.Origen
7275,2025,4,"PUERTO FLUVIAL MAZUZA, LORETO",AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),100000,SACO(S),BRASIL
7276,2025,4,"PUERTO FLUVIAL MAZUZA, LORETO",AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),1000010,SACO(S),BRASIL
7277,2025,4,"PUERTO FLUVIAL MAZUZA, LORETO",AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),1500010,SACO(S),BRASIL
7278,2025,4,"AGUAS VERDES, TUMBES","Las demás coniferas, las demas maderas aserradas o desbastadas longitudinalmente, cortada o desenrollada, incluso cepillada,lijada o unida por lo extremos, de espesor superior a 6 mm, con algun tratamiento de la CRF 2",28630,PIEZAS,ECUADOR
7279,2025,4,"AGUAS VERDES, TUMBES","Las demás coniferas, las demas maderas aserradas o desbastadas longitudinalmente, cortada o desenrollada, incluso cepillada,lijada o unida por lo extremos, de espesor superior a 6 mm, con algun tratamiento de la CRF 2",28920,PIEZAS,ECUADOR
7280,2025,4,"AGUAS VERDES, TUMBES","Las demás coniferas, las demas maderas aserradas o desbastadas longitudinalmente, cortada o desenrollada, incluso cepillada,lijada o unida por lo extremos, de espesor superior a 6 mm, con algun tratamiento de la CRF 2",27990,PIEZAS,ECUADOR
7281,2025,4,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"PECANA, sin cáscara secado al natural",2000,CAJA(S),ARGENTINA
7282,2025,4,"SANTA ROSA, TACNA","LENTEJA, grano",49894,SACO(S),CANADA
7283,2025,4,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",84500,GRANEL,BOLIVIA
7284,2025,4,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",83500,GRANEL,BOLIVIA
7285,2025,4,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",173000,SACO(S),BOLIVIA
7286,2025,4,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"LENTEJA, grano",105990,SACO(S),CANADA
7287,2025,4,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"LENTEJA, grano",81550,SACO(S),CANADA
7288,2025,4,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",174000,SACO(S),BOLIVIA
7289,2025,4,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"FREJOL NEGRO, grano",27000,SACO(S),BOLIVIA
7290,2025,4,"IÑAPARI, MADRE DE DIOS","NUEZ DEL BRASIL, con cáscara seca al natural",29195,SACO(S),BRASIL
7291,2025,4,"IÑAPARI, MADRE DE DIOS","NUEZ DEL BRASIL, con cáscara seca al natural",28395,SACO(S),BRASIL
7292,2025,4,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),116000,SACO(S),BOLIVIA
7293,2025,4,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"CIRUELA, fruto fresco",21600,CAJA(S),CHILE
7294,2025,4,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",145000,SACO(S),BOLIVIA
7295,2025,4,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",174000,SACO(S),BOLIVIA
7296,2025,4,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"KIWI, fruto fresco",42960,CAJA(S),CHILE
7297,2025,4,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MANZANA, fruta fresca",20580,CAJA(S),EEUU
7298,2025,4,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",24839,SACO(S),BOLIVIA
7299,2025,4,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",690,GRANEL,BOLIVIA
7300,2025,4,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",27440,GRANEL,BOLIVIA
7301,2025,4,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",28960,GRANEL,BOLIVIA
7302,2025,4,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",56000,GRANEL,BOLIVIA
7303,2025,4,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",28000,GRANEL,BOLIVIA
7304,2025,4,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",28000,GRANEL,BOLIVIA
7305,2025,4,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"NECTARINA, fruto fresco",20160,CAJA(S),CHILE
7306,2025,4,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MATERIAS VEGETALES, para tallar trabajadas con algun proceso de la CRF 2",2052.361,CAJA(S),CHINA
7307,2025,4,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MAIZ, semilla",69520,BOLSAS,TAILANDIA
7308,2025,4,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"LENTEJA, grano",78927,SACO(S),CANADA
7309,2025,4,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),116000,SACO(S),BOLIVIA
7310,2025,4,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",114000,SACO(S),BOLIVIA
7311,2025,4,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MANZANA, fruta fresca",18620,CAJA(S),EEUU
7312,2025,4,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",116000,SACO(S),BOLIVIA
7313,2025,4,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MANZANA, fruta fresca",18522,CAJA(S),EEUU
7314,2025,4,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ARROZ, parbolizado pulido o sin cáscara",132500,SACO(S),BRASIL
7315,2025,4,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ARROZ, parbolizado pulido o sin cáscara",132500,SACO(S),BRASIL
7316,2025,4,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"GARBANZO, grano",46440,SACO(S),MEXICO
7317,2025,4,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",11760,CAJA(S),ECUADOR
7318,2025,4,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"TRIGO, gluten",0.5,BOLSAS,HOLANDA
