"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"26920",2021,12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PEPINILLO, semilla",0.429,"SACHETS","HOLANDA"
"26921",2021,12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",115000,"SACO(S)","BOLIVIA"
"26922",2021,12,"SANTA ROSA, TACNA","PINO, madera aserrada con algún proceso de la CRF2",24051,"PIEZAS","CHILE"
"26923",2021,12,"SANTA ROSA, TACNA","PINO, madera aserrada con algún proceso de la CRF2",22341,"PIEZAS","CHILE"
"26924",2021,12,"SANTA ROSA, TACNA","PINO, madera aserrada con algún proceso de la CRF2",23554,"PIEZAS","CHILE"
"26925",2021,12,"SANTA ROSA, TACNA","PINO, madera aserrada con algún proceso de la CRF2",20864,"PIEZAS","CHILE"
"26926",2021,12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","COCO, rallado seco industrial",231.336,"CAJA(S)","EEUU"
"26927",2021,12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALMENDRA, sin cáscara secado al natural",19958.31,"CAJA(S)","EEUU"
"26928",2021,12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, grano mondado, perlado, troceado o quebrantado",72000,"SACO(S)","CHILE"
"26929",2021,12,"SANTA ROSA, TACNA","TRACTOR AGRICOLA USADO, con motor de potencia superior a 33 kW pero inferior o igual a 75 kW",4049,"UNIDADES","HOLANDA"
"26930",2021,12,"SANTA ROSA, TACNA","TRACTOR AGRICOLA USADO, con motor de potencia superior a 33 kW pero inferior o igual a 75 kW",4049,"UNIDADES","HOLANDA"
"26931",2021,12,"SANTA ROSA, TACNA","TRACTOR AGRICOLA USADO, con motor de potencia superior a 33 kW pero inferior o igual a 75 kW",4049,"UNIDADES","HOLANDA"
"26932",2021,12,"SANTA ROSA, TACNA","TRACTOR AGRICOLA USADO, con motor de potencia superior a 33 kW pero inferior o igual a 75 kW",4049,"UNIDADES","HOLANDA"
"26933",2021,12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ REVENTON, grano",21178,"SACO(S)","EEUU"
"26934",2021,12,"IÑAPARI, MADRE DE DIOS","MAIZ AMARILLO DURO, grano",96000,"SACO(S)","BRASIL"
"26935",2021,12,"IÑAPARI, MADRE DE DIOS","MAIZ AMARILLO DURO, grano",30500,"SACO(S)","BRASIL"
