"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"21782","2021",10,"SANTA ROSA, TACNA","LENTEJA, grano",74571,"SACO(S)","CANADA"
"21783","2021",10,"SANTA ROSA, TACNA","GARBANZO, grano",22000,"SACO(S)","MEXICO"
"21784","2021",10,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGODON, semilla",18143.7,"BOLSAS","EEUU"
"21785","2021",10,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MELON, semilla",1.501,"SACHETS","HOLANDA"
"21786","2021",10,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MELON, semilla",0.702,"SACHETS","HOLANDA"
"21787","2021",10,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CEBOLLA, triturada o pulverizada",7000,"CAJA(S)","INDIA"
"21788","2021",10,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AJO, polvo",6000,"CAJA(S)","INDIA"
"21789","2021",10,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, semilla",14707.96,"BOLSAS","MEXICO"
"21790","2021",10,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MADERA, monturas y mangos de herramientas, monturas y mangos de cepillos, brochas o escobas, de madera; hormas, ensanchadores y tensores del calzado, de madera ; con algún proceso de la CRF 2",142.27,"CAJA(S)","EEUU"
"21791","2021",10,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","CHIA, grano",60000,"SACO(S)","PARAGUAY"
"21792","2021",10,"SANTA ROSA, TACNA","TRIGO, grano (mondado, perlado, troceado o quebrantado)",3000,"PAQUETES","CHILE"
"21793","2021",10,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TE VERDE",35.38,"CAJA(S)","EEUU"
"21794","2021",10,"SANTA ROSA, TACNA","UVA (PASAS), secas naturalmente",23250,"CAJA(S)","ARGENTINA"
"21795","2021",10,"PUERTO DE SALAVERRY, LA LIBERTAD","SOYA, torta",8909500,"GRANEL","CHILE"
"21796","2021",10,"PUERTO DE SALAVERRY, LA LIBERTAD","TRIGO, grano",10503420,"GRANEL","CANADA"
"21797","2021",10,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"21798","2021",10,"SANTA ROSA, TACNA","ARROZ, parbolizado pulido o sin cáscara",25000,"SACO(S)","PAKISTAN"
"21799","2021",10,"SANTA ROSA, TACNA","LENTEJA, grano",26309,"SACO(S)","CANADA"
"21800","2021",10,"SANTA ROSA, TACNA","LENTEJA, grano",52572,"SACO(S)","CANADA"
"21801","2021",10,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MADERA, láminas para chapado
",70780,"PALETAS","CHINA"
"21802","2021",10,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","LECHUGA, semilla",22.5,"LATAS","JAPON"
"21803","2021",10,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MELON, semilla",3.009,"SOBRES ALUMINIZADOS","HOLANDA"
"21804","2021",10,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PORO, semilla",0.667,"SOBRES ALUMINIZADOS","HOLANDA"
"21805","2021",10,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","BROCOLI, semilla",11.77,"SOBRES ALUMINIZADOS","HOLANDA"
"21806","2021",10,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","COL MORADA, semilla",0.476,"SOBRES ALUMINIZADOS","HOLANDA"
"21807","2021",10,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","COL, semilla",4.086,"SOBRES ALUMINIZADOS","HOLANDA"
"21808","2021",10,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","COLIFLOR, semilla",0.472,"SOBRES ALUMINIZADOS","HOLANDA"
"21809","2021",10,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","LECHUGA, semilla",149.008,"LATAS","HOLANDA"
"21810","2021",10,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","APIO, semilla",9.056,"LATAS","HOLANDA"
"21811","2021",10,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","CALABAZA MOSCADA, semilla",2.582,"SOBRES ALUMINIZADOS","HOLANDA"
"21812","2021",10,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PEPINILLO, semilla",2.901,"SOBRES ALUMINIZADOS","HOLANDA"
"21813","2021",10,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","ZAPALLO (CALABAZA AMARILLA), semilla",4.071,"SOBRES ALUMINIZADOS","HOLANDA"
"21814","2021",10,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","SANDIA, semilla",1.332,"SOBRES ALUMINIZADOS","HOLANDA"
"21815","2021",10,"SANTA ROSA, TACNA","PERA, fruta fresca",21888,"CAJA(S)","CHILE"
"21816","2021",10,"SANTA ROSA, TACNA","PERA, fruta fresca",3456,"CAJA(S)","CHILE"
"21817","2021",10,"SANTA ROSA, TACNA","MANZANA, fruto fresco",20220,"CAJA(S)","CHILE"
"21818","2021",10,"SANTA ROSA, TACNA","PERA, fruta fresca",4032,"CAJA(S)","CHILE"
"21819","2021",10,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, grano mondado, perlado, troceado o quebrantado",64500,"SACO(S)","CHILE"
"21820","2021",10,"SANTA ROSA, TACNA","MANZANA, fruto fresco",19600,"CAJA(S)","CHILE"
"21821","2021",10,"SANTA ROSA, TACNA","KIWI, fruto fresco",6720,"CAJA(S)","CHILE"
"21822","2021",10,"SANTA ROSA, TACNA","MANZANA, fruto fresco",15610,"CAJA(S)","CHILE"
"21823","2021",10,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PERA, fruta fresca",23379,"CAJA(S)","ARGENTINA"
"21824","2021",10,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CAUCHO, técnicamente especificado (TSNR)",60480,"PIEZAS","INDONESIA"
"21825","2021",10,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CAUCHO, técnicamente especificado (TSNR)",60480,"PIEZAS","INDONESIA"
"21826","2021",10,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","GARBANZO, grano",46000,"SACO(S)","MEXICO"
"21827","2021",10,"PUERTO DE PAITA , PIURA","PINO, madera aserrada con tratamiento de secado al horno impregnación de sales",113205,"PALETAS","VENEZUELA"
"21828","2021",10,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","LUPULO, pellets",400,"BOLSAS","EEUU"
"21829","2021",10,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","SAUCE, artículos de cestería con algún proceso de la CRF 2",5532.736,"CAJA(S)","CHINA"
"21830","2021",10,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGODON, fibra sin cardar ni peinar (>28.57 mm = o <34.92 mm)",508710,"FARDOS","EEUU"
"21831","2021",10,"SANTA ROSA, TACNA","MANZANA, fruto fresco",14700,"CAJA(S)","CHILE"
"21832","2021",10,"SANTA ROSA, TACNA","PERA, fruta fresca",9306,"CAJA(S)","CHILE"
"21833","2021",10,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",249480,"SACO(S)","CANADA"
"21834","2021",10,"SANTA ROSA, TACNA","PERA, fruta fresca",2016,"CAJA(S)","CHILE"
"21835","2021",10,"SANTA ROSA, TACNA","MANZANA, fruto fresco",21560,"CAJA(S)","CHILE"
"21836","2021",10,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, grano",37500000,"GRANEL","CANADA"
"21837","2021",10,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","UVA (PASAS), secas industrialmente",20000,"CAJA(S)","CHILE"
"21838","2021",10,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","AJONJOLI, grano",29000,"SACO(S)","BOLIVIA"
