"","Año","Mes","Sede","Producto","Peso Kg.","Tipo de Envase","Pais Origen"
"1","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",18200,"CAJA(S)","EEUU"
"2","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MADERA, herramientas de madera con algún proceso de la CRF2",113.511,"PIEZAS","MEXICO"
"3","2022",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MANI, grano sin cáscara",58000,"SACO(S)","BOLIVIA"
"4","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",90991,"SACO(S)","EEUU"
"5","2022",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","AJONJOLI, grano",29000,"SACO(S)","BOLIVIA"
"6","2022",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","LINAZA, grano",29000,"SACO(S)","BOLIVIA"
"7","2022",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","FREJOL, grano",30000,"SACO(S)","BOLIVIA"
"8","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","OREJAS DE JUDAS, seco industrial",5900,"CAJA(S)","CHINA"
"9","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","Shitake (Lentinus edodes), secos, incluso los cortados en trozos o en rodajas, trituradas o pulverizadas, sin otra preparación",1130,"CAJA(S)","CHINA"
"10","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","UVA (PASAS), secas industrialmente",20000,"CAJA(S)","CHILE"
"11","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CAUCHO, técnicamente especificado (TSNR)",79380,"PALETAS","VIETNAM"
"12","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",23043,"SACO(S)","EEUU"
"13","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PIMIENTA, grano seco al natural",25000,"SACO(S)","MEXICO"
"14","2022",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",58000,"SACO(S)","BOLIVIA"
"15","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CEBOLLA, triturada o pulverizada",508.25,"PAQUETES","EEUU"
"16","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AJO, polvo",2071.952,"PAQUETES","EEUU"
"17","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CULANTRO, hoja seca industrial",16.329,"PAQUETES","EEUU"
"18","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ENELDO, seco industrial",34.019,"PAQUETES","EEUU"
"19","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PEREJIL, hoja seca industrial",48.988,"PAQUETES","EEUU"
"20","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PIMIENTO DULCE, secado industrial",431.366,"PAQUETES","EEUU"
"21","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PIMIENTA, molida",1601.974,"PAQUETES","EEUU"
"22","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PIMENTON, polvo",402.789,"PAQUETES","EEUU"
"23","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CANELA, triturada o pulverizada (molida)",2076.544,"PAQUETES","EEUU"
"24","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CLAVO DE OLOR, sin triturar ni pulverizar con secado al horno",20.412,"PAQUETES","EEUU"
"25","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CLAVO DE OLOR, polvo
",71.441,"PAQUETES","EEUU"
"26","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","NUEZ MOSCADA, triturada o molida",108.862,"PAQUETES","EEUU"
"27","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CULANTRO, semilla triturada, pulverizada o con algún proceso de la CRF 2",57.153,"PAQUETES","EEUU"
"28","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","COMINO, triturado y/o pulverizado",317.741,"PAQUETES","EEUU"
"29","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","JENJIBRE(=KION), triturado o pulverizado",102.058,"PAQUETES","EEUU"
"30","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZAFRAN, filamento seco industrialmente",0.307,"PAQUETES","EEUU"
"31","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CURCUMA, molida",152.401,"PAQUETES","EEUU"
"32","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LAUREL, hoja seca industrial",3.266,"PAQUETES","EEUU"
"33","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CURRY, secas industrial o trituradas o molidas",244.94,"PAQUETES","EEUU"
"34","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ESTRAGON (=ARTEMIASA), seco industrial",43.545,"PAQUETES","EEUU"
"35","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AJONJOLI, grano con algún proceso de la CRF 2",73.482,"PAQUETES","EEUU"
"36","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","OREGANO, seco industrial",103.419,"PAQUETES","EEUU"
"37","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ROMERO, secado industrial",176.901,"PAQUETES","EEUU"
"38","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ACHIOTE, molido",74.843,"PAQUETES","EEUU"
"39","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, harina",138500,"FARDOS","COLOMBIA"
"40","2022",12,"LA TINA, PIURA","PINO, madera aserrada con algún proceso de la CRF2",32000,"UNIDADES","ECUADOR"
"41","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",260820,"SACO(S)","CANADA"
"42","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",49442,"SACO(S)","CANADA"
"43","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",247210,"SACO(S)","CANADA"
"44","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",46085,"SACO(S)","EEUU"
"45","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",73209,"SACO(S)","EEUU"
"46","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",78246,"SACO(S)","CANADA"
"47","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",74844,"SACO(S)","CANADA"
"48","2022",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",57080,"GRANEL","BOLIVIA"
"49","2022",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",280000,"GRANEL","BOLIVIA"
"50","2022",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",87000,"GRANEL","BOLIVIA"
"51","2022",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",28020,"GRANEL","BOLIVIA"
"52","2022",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",26087,"SACO(S)","BOLIVIA"
"53","2022",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",58000,"SACO(S)","BOLIVIA"
"54","2022",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",86300,"GRANEL","BOLIVIA"
"55","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",184163,"SACO(S)","CANADA"
"56","2022",12,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22579.2,"CAJA(S)","CHILE"
"57","2022",12,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22579.2,"CAJA(S)","CHILE"
"58","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","BROCOLI, semilla",1.19,"LATAS","COREA DEL SUR"
"59","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","BROCOLI, semilla",0.39,"SACHETS","COREA DEL SUR"
"60","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PIMIENTO, semilla",9.713,"BOLSAS","HOLANDA"
"61","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LILIUM (=AZUCENA), bulbo",12750,"CAJAS DE PLASTICO","HOLANDA"
"62","2022",12,"SANTA ROSA, TACNA","CEREZA, fruta fresca",14920,"CAJA(S)","CHILE"
"63","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con tratamiento de secado al horno impregnación de sales",19934.479,"PAQUETES","EEUU"
"64","2022",12,"IÑAPARI, MADRE DE DIOS","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",96000,"SACO(S)","BRASIL"
"65","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MOSTAZA, grano",24000,"SACO(S)","CANADA"
"66","2022",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",145000,"SACO(S)","BOLIVIA"
"67","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","BROCOLI, semilla",0.007,"SACHETS","BRASIL"
"68","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","COL, semilla",0.011,"SACHETS","BRASIL"
"69","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","LECHUGA, semilla",1,"SACHETS","BRASIL"
"70","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","AJI PANCA (=AJI LIMO, AJI DULCE, AJI HABANERO), semilla",1.1,"SACHETS","BRASIL"
"71","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PEPINILLO, semilla",0.029,"SACHETS","BRASIL"
"72","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","RABANITO, semilla",0.5,"SACHETS","BRASIL"
"73","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","SANDIA, semilla",0.297,"SACHETS","BRASIL"
"74","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MOSTAZA, grano",23587,"SACO(S)","CANADA"
"75","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PIMIENTO, semilla",6.02,"SACHETS","HOLANDA"
"76","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","COLIFLOR, semilla",0.626,"SACHETS","HOLANDA"
"77","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","LECHUGA, semilla",34.972,"LATAS","HOLANDA"
"78","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","LECHUGA, semilla",2.17,"SACHETS","HOLANDA"
"79","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PORO, semilla",0.011236,"SACHETS","EEUU"
"80","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","COL, semilla",0.01044,"SACHETS","EEUU"
"81","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","APIO, semilla",0.025594,"SACHETS","EEUU"
"82","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","ZAPALLITO ITALIANO (CALABACIN), semilla",0.123701,"SACHETS","EEUU"
"83","2022",12,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22853.6,"CAJA(S)","CHILE"
"84","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGODON, fibra sin cardar ni peinar (>22.22 mm = o <28.57 mm)",158272,"FARDOS","EEUU"
"85","2022",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","TRUFAS (Tuber spp), frescas o refrigeradas",1,"CAJA(S)","ITALIA"
"86","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MOSTAZA, grano",36378,"BOLSAS","CANADA"
"87","2022",12,"SANTA ROSA, TACNA","Prensas para paja o forraje, incluidas prensas recogedoras usadas
",10167.487,"UNIDADES","CANADA"
"88","2022",12,"SANTA ROSA, TACNA","Cosechadoras-trilladoras usadas
",7032.513,"UNIDADES","CANADA"
"89","2022",12,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"90","2022",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",52890,"GRANEL","BOLIVIA"
"91","2022",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",55670,"GRANEL","BOLIVIA"
"92","2022",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",113500,"SACO(S)","BOLIVIA"
"93","2022",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",111500,"SACO(S)","BOLIVIA"
"94","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",20188,"CAJA(S)","CHILE"
"95","2022",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",86250,"GRANEL","BOLIVIA"
"96","2022",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",185248,"SACO(S)","EEUU"
