"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"25084","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",18522,"CAJA(S)","EEUU"
"25085","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TURBA",16620,"BOLSAS","ALEMANIA"
"25086","2023",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PIMIENTO, semilla",0.032665,"SACHETS","HOLANDA"
"25087","2023",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MELON, semilla",0.382,"SACHETS","HOLANDA"
"25088","2023",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","SANDIA, semilla",2.3,"SACHETS","ESPAÑA"
"25089","2023",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","TOMATE, semilla",0.032,"SACHETS","FRANCIA"
"25090","2023",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","TOMATE, semilla",0.002,"SACHETS","FRANCIA"
"25091","2023",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MELON, semilla",0.301,"SACHETS","HOLANDA"
"25092","2023",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MELON, semilla",0.026,"SACHETS","HOLANDA"
"25093","2023",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MELON, semilla",0.204,"SACHETS","HOLANDA"
"25094","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","CHIA, grano",29000,"SACO(S)","BOLIVIA"
"25095","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",120000,"GRANEL","BOLIVIA"
"25096","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","CHIA, grano",29000,"SACO(S)","BOLIVIA"
"25097","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",58000,"SACO(S)","BOLIVIA"
"25098","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","FREJOL, grano",30000,"SACO(S)","BOLIVIA"
"25099","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",56000,"SACO(S)","BOLIVIA"
"25100","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",75000,"SACO(S)","COLOMBIA"
"25101","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALMENDRA, sin cáscara secado al natural",19958.4,"CAJA(S)","EEUU"
"25102","2023",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MAIZ AMARILLO DURO, grano",25,"BOLSAS","BRASIL"
"25103","2023",12,"PUERTO DE SALAVERRY, LA LIBERTAD","MAIZ AMARILLO DURO, grano",16060450,"GRANEL","ARGENTINA"
"25104","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",28660,"GRANEL","BOLIVIA"
"25105","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, parbolizado pulido o sin cáscara",127500,"SACO(S)","BRASIL"
"25106","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MADERA, puertas y sus marcos, contramarcos y umbrales, con algun proceso de la CRF 2",4921.85,"UNIDADES","ITALIA"
"25107","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",84000,"GRANEL","BOLIVIA"
"25108","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","FREJOL, grano",30000,"SACO(S)","BOLIVIA"
"25109","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",131250,"SACO(S)","BRASIL"
"25110","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",79108,"SACO(S)","CANADA"
"25111","2023",12,"PUERTO DE PAITA , PIURA","ARVEJA, grano partido",119701,"SACO(S)","EEUU"
"25112","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",90000,"SACO(S)","BOLIVIA"
"25113","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",84000,"GRANEL","BOLIVIA"
"25114","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",265000,"SACO(S)","BRASIL"
"25115","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","FREJOL, grano",49896,"SACO(S)","CANADA"
"25116","2023",12,"SANTA ROSA, TACNA","LENTEJA, grano",49714,"SACO(S)","CANADA"
"25117","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",24385,"PAQUETES","CHILE"
"25118","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","GIRASOL, torta",57400,"GRANEL","BOLIVIA"
"25119","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",25498,"SACO(S)","BOLIVIA"
"25120","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",27960,"GRANEL","BOLIVIA"
"25121","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MARCOS, madera",9823.708,"UNIDADES","CHINA"
"25122","2023",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","ARANDANO, planta in vitro",693.996,"CAJAS DE PLASTICO","EEUU"
"25123","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",145000,"SACO(S)","BOLIVIA"
"25124","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",57000,"GRANEL","BOLIVIA"
"25125","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",87000,"SACO(S)","BOLIVIA"
"25126","2023",12,"IÑAPARI, MADRE DE DIOS","MAIZ AMARILLO DURO, grano",32000,"GRANEL","BRASIL"
"25127","2023",12,"IÑAPARI, MADRE DE DIOS","MAIZ AMARILLO DURO, grano",32000,"GRANEL","BRASIL"
"25128","2023",12,"IÑAPARI, MADRE DE DIOS","MAIZ AMARILLO DURO, grano",28000,"GRANEL","BRASIL"
"25129","2023",12,"IÑAPARI, MADRE DE DIOS","MAIZ AMARILLO DURO, grano",30000,"GRANEL","BRASIL"
"25130","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",145500,"SACO(S)","BOLIVIA"
"25131","2023",12,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"25132","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CANELA, corteza entera seca al natural",14560,"CAJA(S)","SRI LANKA"
"25133","2023",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","ARROZ, grano pilado",2,"BOLSAS","URUGUAY"
"25134","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, gluten",24000,"BOLSAS","POLONIA"
"25135","2023",12,"SANTA ROSA, TACNA","LENTEJA, grano",74571,"SACO(S)","CANADA"
"25136","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CANELA, corteza entera seca al natural",14560,"CAJA(S)","SRI LANKA"
"25137","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","UVA (PASAS), secas industrialmente",63000,"CAJA(S)","CHILE"
"25138","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",132500,"BOLSAS","BRASIL"
"25139","2023",12,"SANTA ROSA, TACNA","MANZANA, fruto fresco",14259,"CAJA(S)","CHILE"
"25140","2023",12,"SANTA ROSA, TACNA","CEREZA, fruta fresca",3900,"CAJA(S)","CHILE"
"25141","2023",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","GMELINA, semilla",15,"BOLSAS","COSTA RICA"
"25142","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",19559,"CAJA(S)","EEUU"
"25143","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",55920,"GRANEL","BOLIVIA"
"25144","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",113500,"SACO(S)","BOLIVIA"
"25145","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",270000,"SACO(S)","BRASIL"
"25146","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CANELA, corteza entera seca al natural",15000,"CAJA(S)","SRI LANKA"
"25147","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",114500,"SACO(S)","BOLIVIA"
"25148","2023",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PIMIENTO, semilla",15.11,"BOLSAS","HOLANDA"
"25149","2023",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","ARANDANO, planta in vitro",679.5,"CAJAS DE PLASTICO","MEXICO"
"25150","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LINAZA, grano",23995,"SACO(S)","CANADA"
"25151","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",132500,"BOLSAS","BRASIL"
"25152","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",75980,"GRANEL","BOLIVIA"
"25153","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",54000,"GRANEL","BOLIVIA"
"25154","2023",12,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANI, grano sin cáscara",25000,"SACO(S)","BRASIL"
"25155","2023",12,"PUERTO DE SALAVERRY, LA LIBERTAD","MAIZ AMARILLO DURO, grano",35200000,"GRANEL","ARGENTINA"
"25156","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",116000,"SACO(S)","BOLIVIA"
"25157","2023",12,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","TULIPAN, flores frescas cortadas",762,"CAJA(S)","HOLANDA"
"25158","2023",12,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",57000,"SACO(S)","BOLIVIA"
