"","Año","Mes","Sede","Producto","Peso Kg.","Tipo de Envase","Pais Origen"
"1","2023",1,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","ZAPALLITO ITALIANO (CALABACIN), semilla",1.2,"SACHETS","FRANCIA"
"2","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, almidon",94500,"SACO(S)","ARGENTINA"
"3","2023",1,"PUERTO DE PAITA , PIURA","ARANDANO, fruto fresco",14688,"CAJA(S)","EEUU"
"4","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PERA, fruta fresca",22932,"CAJA(S)","ARGENTINA"
"5","2023",1,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","TULIPAN, flores frescas cortadas",744,"CAJA(S)","HOLANDA"
"6","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, grano trabajado (mondado, perlado, troceado o quebrantado)",48000,"SACO(S)","CHILE"
"7","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR CRUDA, sólido",125000,"SACO(S)","GUATEMALA"
"8","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPRIKA, seco industrial en trozos o  rodajas",22590,"PAQUETES","CHINA"
"9","2023",1,"SANTA ROSA, TACNA","CIRUELA, fruto fresco",1920,"CAJA(S)","CHILE"
"10","2023",1,"SANTA ROSA, TACNA","CEREZA, fruta fresca",830,"CAJA(S)","CHILE"
"11","2023",1,"SANTA ROSA, TACNA","NECTARINA, fruto fresco",8640,"CAJA(S)","CHILE"
"12","2023",1,"SANTA ROSA, TACNA","DURAZNO, fruto fresco",11520,"CAJA(S)","CHILE"
"13","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPRIKA, seco industrial en trozos o  rodajas",22500,"PAQUETES","CHINA"
"14","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPRIKA, seco industrial en trozos o  rodajas",22500,"PAQUETES","CHINA"
"15","2023",1,"SANTA ROSA, TACNA","CEREZA, fruta fresca",660,"CAJA(S)","CHILE"
"16","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALMENDRA, sin cáscara secado al natural",19345.714,"CAJA(S)","EEUU"
"17","2023",1,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",24980,"GRANEL","BOLIVIA"
"18","2023",1,"SANTA ROSA, TACNA","CIRUELA, fruto fresco",2280,"CAJA(S)","CHILE"
"19","2023",1,"SANTA ROSA, TACNA","NECTARINA, fruto fresco",10560,"CAJA(S)","CHILE"
"20","2023",1,"SANTA ROSA, TACNA","DURAZNO, fruto fresco",5928,"CAJA(S)","CHILE"
"21","2023",1,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",27500,"GRANEL","BOLIVIA"
