"","Año","Mes","Sede","Producto","Peso Kg.","Tipo de Envase","Pais Origen"
"1","2023",7,"SANTA ROSA, TACNA","LENTEJA, grano",74571,"SACO(S)","CANADA"
"2","2023",7,"SANTA ROSA, TACNA","LENTEJA, grano",52436,"SACO(S)","CANADA"
"3","2023",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano entero",26309,"SACO(S)","CANADA"
"4","2023",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","COCO, fibra (para sustrato)",108410,"PALETAS","INDIA"
"5","2023",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","COCO, fibra (para sustrato)",133030,"PALETAS","INDIA"
"6","2023",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","COCO, fibra (para sustrato)",178620,"PALETAS","INDIA"
"7","2023",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",150000,"SACO(S)","BOLIVIA"
"8","2023",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",70761,"SACO(S)","EEUU"
"9","2023",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",23587,"SACO(S)","EEUU"
"10","2023",7,"SANTA ROSA, TACNA","MANZANA, fruto fresco",18130,"CAJA(S)","CHILE"
"11","2023",7,"SANTA ROSA, TACNA","KIWI, fruto fresco",4014.5,"CAJA(S)","CHILE"
"12","2023",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",141522,"SACO(S)","EEUU"
"13","2023",7,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",12500,"CAJA(S)","ECUADOR"
"14","2023",7,"SANTA ROSA, TACNA","MANZANA, fruto fresco",21700,"CAJA(S)","CHILE"
"15","2023",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","NUEZ, con cáscara seca al natural",20000,"SACO(S)","CHILE"
"16","2023",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","FLOR DE JAMAICA, seca natural",12000,"SACO(S)","NIGERIA"
"17","2023",7,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22992,"CAJA(S)","CHILE"
"18","2023",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",84272,"SACO(S)","BOLIVIA"
"19","2023",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",174000,"SACO(S)","BOLIVIA"
"20","2023",7,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23380,"CAJA(S)","CHILE"
"21","2023",7,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",15000,"CAJA(S)","ECUADOR"
"22","2023",7,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",8400,"CAJA(S)","ECUADOR"
"23","2023",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",144000,"SACO(S)","BOLIVIA"
"24","2023",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",84820,"GRANEL","BOLIVIA"
"25","2023",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",27505,"SACO(S)","BOLIVIA"
"26","2023",7,"IÑAPARI, MADRE DE DIOS","NUEZ DEL BRASIL, con cáscara seca al natural",27900,"SACO(S)","BRASIL"
"27","2023",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","GIRASOL, torta",56430,"GRANEL","BOLIVIA"
"28","2023",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",85360,"GRANEL","BOLIVIA"
"29","2023",7,"SANTA ROSA, TACNA","MANZANA, fruto fresco",18620,"CAJA(S)","CHILE"
"30","2023",7,"SANTA ROSA, TACNA","PERA, fruta fresca",4410,"CAJA(S)","CHILE"
"31","2023",7,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"32","2023",7,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"33","2023",7,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","ALGODON, cardado o peinado",49.94,"CAJA(S)","ITALIA"
"34","2023",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LAUREL, hoja seca al natural",5020,"SACO(S)","ESPAÑA"
"35","2023",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MANI, grano sin cáscara",29000,"SACO(S)","BOLIVIA"
"36","2023",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","YUTE, sacos",16650,"SACOS DE YUTE","INDIA"
"37","2023",7,"SANTA ROSA, TACNA","PERA, fruta fresca",4410,"CAJA(S)","CHILE"
"38","2023",7,"SANTA ROSA, TACNA","MANZANA, fruto fresco",18620,"CAJA(S)","CHILE"
"39","2023",7,"IÑAPARI, MADRE DE DIOS","MAIZ AMARILLO DURO, grano",32000,"SACO(S)","BRASIL"
"40","2023",7,"SANTA ROSA, TACNA","MANZANA, fruto fresco",6860,"CAJA(S)","CHILE"
"41","2023",7,"SANTA ROSA, TACNA","KIWI, fruto fresco",21760,"CAJA(S)","CHILE"
"42","2023",7,"SANTA ROSA, TACNA","PERA, fruta fresca",11574,"CAJA(S)","CHILE"
"43","2023",7,"SANTA ROSA, TACNA","KIWI, fruto fresco",5040,"CAJA(S)","CHILE"
"44","2023",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",87000,"SACO(S)","BOLIVIA"
