,Año,Mes,Sede,Producto,Peso.Kg.,Tipo.de.Envase,Pais.Origen
262000,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MAIZ, almidon",19000,BOLSAS,INDIA
262001,2023,11,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",10000,CAJA(S),ECUADOR
262002,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"TRACTOR USADO, con motor de potencia superior a 33 kW pero inferior o igual a 75 kW",13450,UNIDADES,CHINA
262003,2023,11,"IÑAPARI, MADRE DE DIOS","MAIZ AMARILLO DURO, grano",32000,SACO(S),BRASIL
262004,2023,11,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",9840,CAJA(S),ECUADOR
262005,2023,11,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"PAPAYA, semilla",4.102,SACHETS,TAIWAN
262006,2023,11,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,CAJA(S),CHILE
262007,2023,11,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23176,CAJA(S),CHILE
262008,2023,11,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"TULIPAN, flores frescas cortadas",715,CAJA(S),CHILE
262009,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"AVENA, grano aplastado o en copos (hojuelas)",26250,SACO(S),CHILE
262010,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PINO, madera aserrada con algún proceso de la CRF2",23600,PAQUETES,CHILE
262011,2023,11,"PUERTO DE MATARANI , AREQUIPA","TRIGO, grano",15000000,GRANEL,CANADA
262012,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"CEBOLLA, triturada o pulverizada",567.444,PAQUETES,EEUU
262013,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"AJO, polvo",1726.825,PAQUETES,EEUU
262014,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"AJO CON PEREJIL, molido",52.73,PAQUETES,EEUU
262015,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ALBAHACA, triturada",20.412,PAQUETES,EEUU
262016,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"CULANTRO, hoja seca industrial",8.165,PAQUETES,EEUU
262017,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PEREJIL, hoja seca industrial",8.165,PAQUETES,EEUU
262018,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PIÑON, sin cascara seca industrialmente",16.329,PAQUETES,EEUU
262019,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PIMIENTA, mezcla con algún proceso de la CRF 2",212.281,PAQUETES,EEUU
262020,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PIMIENTA, molida",1364.177,PAQUETES,EEUU
262021,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PIMENTON, polvo",811.023,PAQUETES,EEUU
262022,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"CANELA, triturada o pulverizada (molida)",1368.94,PAQUETES,EEUU
262023,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"CLAVO DE OLOR, polvo_x000D_
",71.441,PAQUETES,EEUU
262024,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"NUEZ MOSCADA, sin triturar ni pulverizar con secado al horno",130.867,PAQUETES,EEUU
262025,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"NUEZ MOSCADA, triturada o molida",108.862,PAQUETES,EEUU
262026,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"COMINO, triturado y/o pulverizado",337.473,PAQUETES,EEUU
262027,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"JENJIBRE(=KION), triturado o pulverizado",293.928,PAQUETES,EEUU
262028,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"CURCUMA, molida",228.61,PAQUETES,EEUU
262029,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"CURRY, secas industrial o trituradas o molidas",152.407,PAQUETES,EEUU
262030,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ESTRAGON (=ARTEMIASA), seco industrial",27.216,PAQUETES,EEUU
262031,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"TOMILLO, hoja seca industrial",48.988,PAQUETES,EEUU
262032,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"OREGANO, con algún con proceso de CRF 2",171.118,PAQUETES,EEUU
262033,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ROMERO, secado industrial",48.988,PAQUETES,EEUU
262034,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ACHIOTE, molido",74.843,PAQUETES,EEUU
262035,2023,11,"IÑAPARI, MADRE DE DIOS","MAIZ AMARILLO DURO, grano",27000,SACO(S),BRASIL
262036,2023,11,"PUERTO DE PAITA , PIURA","LENTEJA, grano",105232,SACO(S),CANADA
262037,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"TRACTOR USADO, con motor de potencia superior a 33 kW pero inferior o igual a 75 kW",11500,UNIDADES,CHINA
262038,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"TRACTOR USADO, con motor de potencia superior a 33 kW pero inferior o igual a 75 kW",8800,UNIDADES,CHINA
262039,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MANZANA, fruta fresca",19551,CAJA(S),PORTUGAL
262040,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MANZANA, fruta fresca",19551,CAJA(S),PORTUGAL
262041,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MANZANA, fruta fresca",80360,CAJA(S),PORTUGAL
262042,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MANZANA, fruta fresca",20629,CAJA(S),PORTUGAL
262043,2023,11,"IÑAPARI, MADRE DE DIOS","TORNILLO, madera aserrada",28010,FARDOS,BRASIL
262044,2023,11,"PUERTO DE PAITA , PIURA",TURBA,110180,BIG BAG,LETONIA
262045,2023,11,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"PAPA, fécula",3,BOLSAS,HOLANDA
262046,2023,11,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"PALMA ACEITERA, semilla germinada",315,CAJA(S),COSTA RICA
262047,2023,11,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"PIMIENTO, semilla",0.239,SACHETS,HOLANDA
262048,2023,11,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"ZAPALLO (CALABAZA AMARILLA), semilla",0.061,SACHETS,HOLANDA
262049,2023,11,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"TOMATE, semilla",0.047,SACHETS,ESPAÑA
262050,2023,11,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"BERENJENA, semilla",0.153,SACHETS,ESPAÑA
262051,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"LENTEJA, grano",262990,SACO(S),CANADA
262052,2023,11,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"PIMIENTO, semilla",0.328,SACHETS,HOLANDA
262053,2023,11,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",86980,GRANEL,BOLIVIA
262054,2023,11,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PINO, madera aserrada con algún proceso de la CRF2",112194,PAQUETES,CHILE
