,Año,Mes,Sede,Producto,Peso.Kg.,Tipo.de.Envase,Pais.Origen
259346,2023,10,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",145000,SACO(S),BOLIVIA
259347,2023,10,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"TOMATE, semilla",0.01435,SACHETS,HOLANDA
259348,2023,10,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"UVA (PASAS), secas industrialmente",21000,CAJA(S),CHILE
259349,2023,10,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PINO, postes de madera con algun proceso de la CRF 2",41652,PIEZAS,EEUU
259350,2023,10,"PUERTO DE PAITA , PIURA","MAIZ REVENTON, grano",102000,SACO(S),BRASIL
259351,2023,10,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"Las demás máquinas y aparatos de cosechar; máquinas y aparatos de trillar usadas_x000D_
",850,UNIDADES,ESPAÑA
259352,2023,10,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"BRACHIARIA, semilla",4140,SACO(S),MEXICO
259353,2023,10,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),270000,SACO(S),BRASIL
259354,2023,10,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PINO, postes de madera con algun proceso de la CRF 2",143464,PAQUETES,EEUU
259355,2023,10,"IÑAPARI, MADRE DE DIOS","MAIZ AMARILLO DURO, grano",32000,SACO(S),BRASIL
259356,2023,10,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ARROZ, parbolizado pulido o sin cáscara",132500,SACO(S),BRASIL
259357,2023,10,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),270000,SACO(S),BRASIL
259358,2023,10,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"BETARRAGA, semilla",346.389,SACHETS,HOLANDA
259359,2023,10,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ESPINACA, semilla",2099.298,SACHETS,HOLANDA
259360,2023,10,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"JACINTO DE AGUA, trenzados o confeccionados con algún proceso de la CRF2",670.65,UNIDADES,CHINA
259361,2023,10,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ARROZ, grano pilado",200000,SACO(S),URUGUAY
259362,2023,10,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"Cosechadoras-trilladoras usadas_x000D_
",16090,UNIDADES,MEXICO
259363,2023,10,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,CAJA(S),CHILE
259364,2023,10,PUESTO DE CONTROL- CEBAF,"TRIGO, harina",46,SACO(S),ECUADOR
259365,2023,10,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),212000,SACO(S),GUATEMALA
259366,2023,10,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",56980,GRANEL,BOLIVIA
259367,2023,10,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",56990,GRANEL,BOLIVIA
