,Año,Mes,Sede,Producto,Peso.Kg.,Tipo.de.Envase,Pais.Origen
256754,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",116888,SACO(S),BOLIVIA
256755,2023,9,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"Articulos para fiestas de navidad que sean o contengan material vegetal_x000D_
",95.5,BOLSA DE POLIETILENO,PANAMA
256756,2023,9,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"Articulos para fiestas de navidad que sean o contengan material vegetal_x000D_
",233.5,CAJA(S),PANAMA
256757,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),29000,SACO(S),BOLIVIA
256758,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),29000,SACO(S),BOLIVIA
256759,2023,9,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MANZANA, fruto fresco",19551,CAJA(S),ARGENTINA
256760,2023,9,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),25000,SACO(S),COLOMBIA
256761,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",116000,SACO(S),BOLIVIA
256762,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, grano",56000,GRANEL,BOLIVIA
256763,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, grano",55000,GRANEL,BOLIVIA
256764,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, grano",55000,GRANEL,BOLIVIA
256765,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, grano",54500,GRANEL,BOLIVIA
256766,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, grano",57000,GRANEL,BOLIVIA
256767,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, grano",55000,GRANEL,BOLIVIA
256768,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, grano",83000,GRANEL,BOLIVIA
256769,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",145000,SACO(S),BOLIVIA
256770,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, grano",84000,GRANEL,BOLIVIA
256771,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, grano",54000,GRANEL,BOLIVIA
256772,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, grano",55000,GRANEL,BOLIVIA
256773,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, grano",84000,GRANEL,BOLIVIA
256774,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, grano",82500,GRANEL,BOLIVIA
256775,2023,9,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PINO, madera aserrada con tratamiento de secado al horno impregnación de sales",74101.12,PAQUETES,CHILE
256776,2023,9,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PERA, fruta fresca",22680,CAJA(S),ARGENTINA
256777,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"MAIZ, salvado",56000,SACO(S),BOLIVIA
256778,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",172000,SACO(S),BOLIVIA
256779,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"MAIZ, salvado",56000,SACO(S),BOLIVIA
256780,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),42000,SACO(S),BOLIVIA
256781,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),43500,SACO(S),BOLIVIA
256782,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",201000,SACO(S),BOLIVIA
256783,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",146000,SACO(S),BOLIVIA
256784,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"CHIA, grano",29000,SACO(S),BOLIVIA
256785,2023,9,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"UVA (PASAS), secas industrialmente",24000,CAJA(S),CHILE
256786,2023,9,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"CIRUELA, seca industrialmente",62000,CAJA(S),CHILE
256787,2023,9,"SANTA ROSA, TACNA","PERA, fruta fresca",4608,CAJA(S),CHILE
256788,2023,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",19110,CAJA(S),CHILE
256789,2023,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",19600,CAJA(S),CHILE
256790,2023,9,"SANTA ROSA, TACNA","PERA, fruta fresca",3528,CAJA(S),CHILE
256791,2023,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,CAJA(S),CHILE
256792,2023,9,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"Articulos para fiestas de navidad que sean o contengan material vegetal_x000D_
",614.16,UNIDADES,CHINA
256793,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",50000,GRANEL,BOLIVIA
256794,2023,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",12740,CAJA(S),CHILE
256795,2023,9,"SANTA ROSA, TACNA","PERA, fruta fresca",11088,CAJA(S),CHILE
256796,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",55289,SACO(S),BOLIVIA
256797,2023,9,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ARROZ, parbolizado pulido o sin cáscara",127500,SACO(S),BRASIL
256798,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",116000,SACO(S),BOLIVIA
256799,2023,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22220,CAJA(S),CHILE
256800,2023,9,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MADERA, en bruto de coníferas tratada agentes de conservación_x000D_
",387240,UNIDADES,CHILE
256801,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),29000,SACO(S),BOLIVIA
256802,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),58000,SACO(S),BOLIVIA
256803,2023,9,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"PALMA ACEITERA, semilla germinada",130,CAJA(S),COSTA RICA
256804,2023,9,"AGUAS VERDES, TUMBES","CAÑA DE GUAYAQUIL, seca al natural",32000,UNIDADES,ECUADOR
256805,2023,9,"PUERTO DE PAITA , PIURA","ARVEJA, grano entero",99788,SACO(S),CANADA
256806,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",145000,SACO(S),BOLIVIA
256807,2023,9,"PUERTO DE SALAVERRY, LA LIBERTAD","SOYA, torta",6500000,GRANEL,ARGENTINA
256808,2023,9,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"MAIZ, harina",5,BOLSAS,COLOMBIA
256809,2023,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23167.2,CAJA(S),CHILE
256810,2023,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,CAJA(S),CHILE
256811,2023,9,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ARROZ, grano pilado",250000,SACO(S),URUGUAY
256812,2023,9,"AGUAS VERDES, TUMBES","CAÑA DE GUAYAQUIL, seca al natural",32000,UNIDADES,ECUADOR
256813,2023,9,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),140000,SACO(S),BOLIVIA
256814,2023,9,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",3480,CAJA(S),ECUADOR
256815,2023,9,"IÑAPARI, MADRE DE DIOS","MAIZ, grano trabajado (mondado, perlado, troceado o quebrantado)",31995,SACO(S),BRASIL
256816,2023,9,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"AVENA, grano trabajado (mondado, perlado, troceado o quebrantado)",2.5,BOLSAS,CHILE
