"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"8961",2024,5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPA, fécula",22000,"SACO(S)","MEXICO"
"8962",2024,5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CAUCHO, técnicamente especificado (TSNR)",20160,"PIEZAS","GUATEMALA"
"8963",2024,5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",60000,"BIG BAG","GUATEMALA"
"8964",2024,5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",19500,"SACO(S)","GUATEMALA"
"8965",2024,5,"IÑAPARI, MADRE DE DIOS","NUEZ DEL BRASIL, con cáscara seca al natural",27900,"SACO(S)","BRASIL"
"8966",2024,5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",144300,"SACO(S)","BOLIVIA"
"8967",2024,5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",145000,"SACO(S)","BOLIVIA"
"8968",2024,5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",145000,"SACO(S)","BOLIVIA"
"8969",2024,5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",176000,"SACO(S)","BOLIVIA"
"8970",2024,5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",177000,"SACO(S)","BOLIVIA"
"8971",2024,5,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",12600,"CAJA(S)","ECUADOR"
"8972",2024,5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",147500,"SACO(S)","BOLIVIA"
"8973",2024,5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",116000,"SACO(S)","BOLIVIA"
"8974",2024,5,"AGUAS VERDES, TUMBES","PAJA MACORA, paja seca al natural",1270,"FARDOS","ECUADOR"
"8975",2024,5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGODON, fibra sin cardar ni peinar (>28.57 mm = o <34.92 mm)",101525,"FARDOS","EEUU"
"8976",2024,5,"IÑAPARI, MADRE DE DIOS","NUEZ DEL BRASIL, con cáscara seca al natural",29000,"GRANEL","BRASIL"
"8977",2024,5,"IÑAPARI, MADRE DE DIOS","NUEZ DEL BRASIL, con cáscara seca al natural",29050,"GRANEL","BRASIL"
"8978",2024,5,"IÑAPARI, MADRE DE DIOS","NUEZ DEL BRASIL, con cáscara seca al natural",29000,"GRANEL","BRASIL"
"8979",2024,5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",112000,"GRANEL","BOLIVIA"
"8980",2024,5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PALTA, fruto fresco",24000,"CAJAS DE PLASTICO","COLOMBIA"
"8981",2024,5,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MOSTAZA, harina",4.5,"BOLSAS","CANADA"
"8982",2024,5,"AGUAS VERDES, TUMBES","ROSA, flores frescas cortadas",675,"CAJA(S)","ECUADOR"
"8983",2024,5,"AGUAS VERDES, TUMBES","LILIUM (=AZUCENA), flores frescas cortadas",200,"CAJA(S)","ECUADOR"
"8984",2024,5,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PIMIENTO, semilla",0.267,"SOBRES","EEUU"
"8985",2024,5,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PEPINILLO, semilla",62.118,"SOBRES","EEUU"
"8986",2024,5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",20580,"CAJA(S)","EEUU"
"8987",2024,5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",20172,"CAJA(S)","EEUU"
"8988",2024,5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",20580,"CAJA(S)","EEUU"
"8989",2024,5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","KIWI, fruto fresco",24000,"CAJA(S)","CHILE"
"8990",2024,5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",20580,"CAJA(S)","EEUU"
"8991",2024,5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",265000,"SACO(S)","BRASIL"
"8992",2024,5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",397500,"SACO(S)","BRASIL"
"8993",2024,5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","Arados usados
",401.213,"UNIDADES","FRANCIA"
"8994",2024,5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","Prensas para paja o forraje, incluidas prensas recogedoras usadas
",693.187,"UNIDADES","FRANCIA"
"8995",2024,5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRACTOR USADO, con motor de potencia superior a 75 kW pero inferior o igual a 130 kW",6201.6,"UNIDADES","FRANCIA"
"8996",2024,5,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, harina",42000,"PACAS","COLOMBIA"
"8997",2024,5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MANI, grano sin cáscara",87000,"SACO(S)","BOLIVIA"
"8998",2024,5,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",84380,"GRANEL","BOLIVIA"
