,Año,Mes,Sede,Producto,Peso.Kg.,Tipo.de.Envase,Pais.Origen
2645,2025,2,"SANTA ROSA, TACNA","ALPISTE (=PHALARIS), grano",24993,SACO(S),CANADA
2646,2025,2,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",13000,CAJA(S),ECUADOR
2647,2025,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",28000,GRANEL,BOLIVIA
2648,2025,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",20500,GRANEL,BOLIVIA
2649,2025,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",27000,GRANEL,BOLIVIA
2650,2025,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",7500,GRANEL,BOLIVIA
2651,2025,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",56000,SACO(S),BOLIVIA
2652,2025,2,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",20580,CAJA(S),ECUADOR
2653,2025,2,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",22000,CAJA(S),ECUADOR
2654,2025,2,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",12600,CAJA(S),ECUADOR
2655,2025,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"BROCOLI, semilla",0.009,SACHETS,EEUU
2656,2025,2,"PUERTO DE SALAVERRY, LA LIBERTAD","SOYA, torta",8414260,GRANEL,CHILE
2657,2025,2,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",12500,CAJA(S),ECUADOR
2658,2025,2,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",14000,CAJA(S),ECUADOR
2659,2025,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",145000,SACO(S),BOLIVIA
2660,2025,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",87000,SACO(S),BOLIVIA
2661,2025,2,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",15140,CAJA(S),ECUADOR
2662,2025,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MAIZ REVENTON, grano",127000,SACO(S),ARGENTINA
2663,2025,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"GARBANZO, grano",23133,SACO(S),EEUU
2664,2025,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",145000,SACO(S),BOLIVIA
2665,2025,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"AVENA, grano trabajado (mondado, perlado, troceado o quebrantado)",26250,SACO(S),CHILE
