,Año,Mes,Sede,Producto,Peso.Kg.,Tipo.de.Envase,Pais.Origen
13299,2025,6,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"QUINUA, grano",20000,SACO(S),BOLIVIA
13300,2025,6,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"QUINUA, grano",20000,SACO(S),BOLIVIA
13301,2025,6,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,TURBA,294670,PAQUETES,ESTONIA
13302,2025,6,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"GARBANZO, grano",46000,SACO(S),MEXICO
13303,2025,6,"PUERTO DE PAITA , PIURA","LENTEJA, grano",106140,SACO(S),CANADA
13304,2025,6,"PUERTO DE PAITA , PIURA","LENTEJA, grano",25129,SACO(S),CANADA
13305,2025,6,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",83990,GRANEL,BOLIVIA
13306,2025,6,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",56000,GRANEL,BOLIVIA
13307,2025,6,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",139310,GRANEL,BOLIVIA
13308,2025,6,"PUERTO DE PAITA , PIURA","FREJOL, grano",244980,SACO(S),CHINA
13309,2025,6,"PUERTO DE PAITA , PIURA","CLAVO DE OLOR, entera seca al natural",24610,CAJA(S),INDONESIA
13310,2025,6,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"CIRUELA, seca industrialmente",40000,CAJA(S),CHILE
13311,2025,6,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"COCO, fibra (para sustrato)",73948,PALETAS,SRI LANKA
13312,2025,6,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"AVENA, grano aplastado o en copos (hojuelas)",78750,SACO(S),CHILE
13313,2025,6,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22834,CAJA(S),CHILE
13314,2025,6,"SANTA ROSA, TACNA","PERA, fruta fresca",10458,CAJA(S),CHILE
13315,2025,6,"SANTA ROSA, TACNA","MANZANA, fruto fresco",12740,CAJA(S),CHILE
13316,2025,6,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),318000,SACO(S),NICARAGUA
13317,2025,6,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"AZUCAR CRUDA, sólido",50000,SACO(S),NICARAGUA
13318,2025,6,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"UVA (PASAS), secas naturalmente",40000,CAJA(S),ARGENTINA
13319,2025,6,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"CEBOLLA, semilla",565.511,SACHETS,CHILE
13320,2025,6,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"COCO, fibra (para sustrato)",99713,PALETAS,SRI LANKA
13321,2025,6,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"COCO, fibra (para sustrato)",149466,PALETAS,SRI LANKA
13322,2025,6,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22344,CAJA(S),CHILE
13323,2025,6,"SANTA ROSA, TACNA","MANZANA, fruto fresco",21888,CAJA(S),CHILE
13324,2025,6,"SANTA ROSA, TACNA","MANZANA, fruto fresco",21888,CAJA(S),CHILE
13325,2025,6,"SANTA ROSA, TACNA","MANZANA, fruto fresco",21888,CAJA(S),CHILE
13326,2025,6,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"LENTEJA, grano",120200,SACO(S),EEUU
13327,2025,6,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"KIWI, fruto fresco",22240,CAJA(S),CHILE
13328,2025,6,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MARCOS, madera",331.8,UNIDADES,CHINA
