"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"22246",2025,9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",99792,"SACO(S)","EEUU"
"22247",2025,9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",149688,"SACO(S)","EEUU"
"22248",2025,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"22249",2025,9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",78000,"SACO(S)","BOLIVIA"
"22250",2025,9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",112000,"SACO(S)","BOLIVIA"
"22251",2025,9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",84000,"SACO(S)","BOLIVIA"
"22252",2025,9,"PUERTO DE PAITA , PIURA","LINAZA, grano",45994,"SACO(S)","CANADA"
"22253",2025,9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",28000,"GRANEL","BOLIVIA"
"22254",2025,9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",120000,"SACO(S)","BOLIVIA"
"22255",2025,9,"PUERTO DE MATARANI , AREQUIPA","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",265000,"SACO(S)","COLOMBIA"
"22256",2025,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",11172,"CAJA(S)","CHILE"
"22257",2025,9,"SANTA ROSA, TACNA","KIWI, fruto fresco",11232,"CAJA(S)","CHILE"
"22258",2025,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"22259",2025,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"22260",2025,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23520,"CAJA(S)","CHILE"
"22261",2025,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22736,"CAJA(S)","CHILE"
"22262",2025,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",23177,"CAJA(S)","CHILE"
"22263",2025,9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MANI, grano sin cáscara",112000,"SACO(S)","BOLIVIA"
"22264",2025,9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","FREJOL, grano",48180,"SACO(S)","ARGENTINA"
"22265",2025,9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, grano",2198560,"GRANEL","ARGENTINA"
"22266",2025,9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","Articulos para fiestas de navidad que sean o contengan material vegetal
",1638.75,"PIEZAS","HONG KONG"
"22267",2025,9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MANI, grano sin cáscara",29000,"SACO(S)","BOLIVIA"
"22268",2025,9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","Articulos para fiestas de navidad que sean o contengan material vegetal
",167.708,"BOLSAS","CHINA"
"22269",2025,9,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22610,"CAJA(S)","CHILE"
"22270",2025,9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MANI, grano sin cáscara",29000,"SACO(S)","BOLIVIA"
"22271",2025,9,"PUERTO DE PAITA , PIURA","ARVEJA, grano partido",124965,"SACO(S)","CANADA"
"22272",2025,9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","YUCA (=MANDIOCA), fécula",18000,"SACO(S)","TAILANDIA"
"22273",2025,9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",116000,"SACO(S)","BOLIVIA"
"22274",2025,9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",145000,"SACO(S)","BOLIVIA"
"22275",2025,9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",102000,"SACO(S)","BOLIVIA"
"22276",2025,9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",132500,"SACO(S)","COLOMBIA"
"22277",2025,9,"LA TINA, PIURA","MADERA, paletas, paletas caja y demas plataformas para carga, collarines para paletas, con algún proceso de la CRF 2",64000,"UNIDADES","ECUADOR"
"22278",2025,9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",116000,"SACO(S)","BOLIVIA"
"22279",2025,9,"SANTA ROSA, TACNA","DURAZNO, seco industrial",2320,"CAJA(S)","CHILE"
"22280",2025,9,"SANTA ROSA, TACNA","UVA (PASAS), secas industrialmente",5500,"CAJA(S)","CHILE"
"22281",2025,9,"SANTA ROSA, TACNA","NUEZ DE NOGAL, sin cascara con algun proceso de la CRF 2",530,"CAJA(S)","CHILE"
"22282",2025,9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MANI, grano sin cáscara",28000,"SACO(S)","BOLIVIA"
"22283",2025,9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",60000,"GRANEL","BOLIVIA"
"22284",2025,9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",29000,"GRANEL","BOLIVIA"
"22285",2025,9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TE VERDE",282.59,"CAJA(S)","EEUU"
"22286",2025,9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","UVA (PASAS), secas naturalmente",20200,"CAJA(S)","CHILE"
"22287",2025,9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LUCUMA, polvo",1760,"CAJA(S)","HOLANDA"
"22288",2025,9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGA, polvo",500,"CAJA(S)","HOLANDA"
"22289",2025,9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPA, hojuelas y pellets",19200,"SACO(S)","HOLANDA"
